scheduleName,scheduleDescribe,meetingPoint,date,startTime,endTime,scheduleType,scheduleTemplateID,signUpNum,Instructors,gmtCreate,gmtModify,InstructotrNum
Club 6,-,Adult Departure,9-Jan-24,09:00,11:30,group lesson,-,0,KAYA,-,-,1
Club 5,-,Adult Departure,9-Jan-24,09:00,11:30,group lesson,-,0,WILLIE,-,-,1
Club 5,-,Adult Departure,9-Jan-24,09:00,11:30,group lesson,-,0,CHARLIE,-,-,1
Club 4,-,Adult Departure,9-Jan-24,09:15,11:30,group lesson,-,0,GREG,-,-,1
Club 4,-,Adult Departure,9-Jan-24,09:15,11:30,group lesson,-,0,GERT,-,-,1
Club 4,-,Adult Departure,9-Jan-24,09:15,11:30,group lesson,-,0,RADU,-,-,1
Club 3,-,Adult Departure,9-Jan-24,09:30,11:45,group lesson,-,0,DYLAN,-,-,1
Club 3,-,Adult Departure,9-Jan-24,09:30,11:45,group lesson,-,0,BEN S,-,-,1
Club 3,-,Adult Departure,9-Jan-24,09:30,11:45,group lesson,-,0,GUS,-,-,1
Club 3,-,Adult Departure,9-Jan-24,09:30,11:45,group lesson,-,0,BOJAN,-,-,1
Club 2,-,Adult Departure,9-Jan-24,09:45,11:45,group lesson,-,0,LILY,-,-,1
Club 2,-,Adult Departure,9-Jan-24,09:45,11:45,group lesson,-,0,BENJAMIN,-,-,1
Club 1,-,Adult Departure,9-Jan-24,10:00,12:00,group lesson,-,0,KALEB,-,-,1
Club 1,-,Adult Departure,9-Jan-24,10:00,12:00,group lesson,-,0,EMIL,-,-,1
Club 1,-,Adult Departure,9-Jan-24,10:00,12:00,group lesson,-,0,MADS,-,-,1
Club 1,-,Adult Departure,9-Jan-24,10:00,12:00,group lesson,-,0,WANG,-,-,1
Club Beginner,-,Adult Departure,9-Jan-24,10:15,12:15,group lesson,-,0,KEVIN,-,-,1
Club Beginner,-,Adult Departure,9-Jan-24,10:15,12:15,group lesson,-,0,YOSSY,-,-,1
Club Beginner,-,Adult Departure,9-Jan-24,10:15,12:15,group lesson,-,0,ADAM,-,-,1
SB 4,-,Adult Departure,9-Jan-24,09:45,12:00,group lesson,-,0,NICOLAS,-,-,1
SB 3,-,Adult Departure,9-Jan-24,09:45,12:00,group lesson,-,0,ELENA,-,-,1
SB 3,-,Adult Departure,9-Jan-24,09:45,12:00,group lesson,-,0,LISA,-,-,1
SB 2,-,Adult Departure,9-Jan-24,10:00,12:00,group lesson,-,0,ASKE,-,-,1
SB 1,-,Adult Departure,9-Jan-24,10:15,12:15,group lesson,-,0,DAVE,-,-,1
SB 1,-,Adult Departure,9-Jan-24,10:15,12:15,group lesson,-,0,TOBY,-,-,1
SB Beginner,-,Adult Departure,9-Jan-24,10:15,12:15,group lesson,-,0,WILLYS,-,-,1
Trident Bronze,-,Big Kids Room,9-Jan-24,09:00,11:15,group lesson,-,0,CAROLINE,-,-,1
Trident 3,-,Big Kids Room,9-Jan-24,09:00,11:15,group lesson,-,0,SAM,-,-,1
Trident 3,-,Big Kids Room,9-Jan-24,09:00,11:15,group lesson,-,0,TYLER,-,-,1
Trident 3,-,Big Kids Room,9-Jan-24,09:00,11:15,group lesson,-,0,SOFIE,-,-,1
Trident 2,-,Big Kids Room,9-Jan-24,09:15,11:30,group lesson,-,0,ALEX,-,-,1
Trident 2,-,Big Kids Room,9-Jan-24,09:15,11:30,group lesson,-,0,JULIE,-,-,1
